Index,Origin,Dest
178534,ORD,AZO
776965,ORD,CID
753121,ATL,MHT
100439,LAX,PHX
758058,GSP,LGA
140330,MRY,PHX
819379,SNA,SFO
328197,ATL,OKC
577287,AUS,IAH
49671,IND,MCI
760192,CVG,MIA
523725,SJU,FLL
396143,ROW,DFW
913683,CAE,CVG
465253,MSP,BNA
54396,SNA,SMF
86790,SJC,ONT
182898,SFO,MFR
307469,SAT,ATL
757045,TUL,CVG
546622,JFK,SFO
719248,IAH,RDU
904766,ATL,ONT
900036,LAX,OGG
848456,LAS,LAX
846538,DEN,LAS
386881,AUS,DAL
657830,SDF,TPA
205188,ORD,MBS
736925,ROA,IAD
958807,LGA,PHF
43758,MSY,MCO
132367,IAD,MCI
131414,CLT,MDT
900972,CVG,LAX
317233,ATL,ELP
130906,IAD,RDU
423012,PHX,MSP
640647,MCI,TUL
60365,SAN,LAS
100402,PDX,SLC
415942,SDF,RDU
1036115,SCE,DTW
964235,SBA,LAX
983881,BWI,JFK
989783,ORD,EVV
122905,CLE,IND
407968,ORD,IND
913565,ATL,SHV
1017714,IND,LAX
373403,ATL,PIT
138912,MTJ,DEN
24538,PHL,PVD
324154,CRW,ATL
55585,LAS,DEN
431239,MSP,MEM
749810,CVG,EWR
952206,PHF,ATL
360136,IND,RSW
159060,SDF,CVG
721504,SAV,IAH
900662,SFO,JFK
711933,CLE,BDL
845783,MCO,IAD
712163,EWR,BGR
381054,SAN,LAX
293880,PHX,SEA
375183,OGG,SEA
384656,CLL,DFW
889450,MDW,FLL
393223,DFW,XNA
239620,DEN,SJC
375243,PHX,HNL
1033153,FAR,MSP
691483,ALB,BWI
481508,LGA,ORD
966503,SJC,SAN
153673,MIA,CVG
278623,MSY,PHL
873307,CLT,MSY
250711,LAS,SFO
31711,TPA,BNA
143056,IAD,CLT
535210,PDX,SNA
711914,HSV,IAH
498652,ORD,DEN
612785,TPA,STL
637727,OAK,RNO
750774,CVG,ALB
303113,LAX,ATL
985581,ORD,CMI
590165,SAN,CVG
799796,DEN,PSC
150595,CAK,ORD
9842,LAS,RNO
261345,RDU,CLT
102248,BOI,LAX
966709,SFO,SNA
1001618,BOS,LGA
740916,LAS,TUS
230906,SNA,ORD
771570,SLC,MCI
721759,BTR,IAH
137094,SMF,LAS
529843,HNL,ITO
533625,PSP,SFO
270557,CLT,MCO
167265,RIC,CVG
988717,SYR,ORD
275049,PIT,MCO
821380,ORD,PHL
837749,IAD,ORD
950980,ATL,MCO
273565,PHL,STT
295642,BNA,SEA
570780,RNO,IAH
929328,CMH,ATL
219961,SFO,SEA
583143,DEN,IAH
964876,SBP,LAX
612348,SEA,SMF
251050,PHX,SFO
68393,BWI,PIT
840646,EGE,DEN
165810,LGA,BHM
437940,MKE,MSP
134461,EWR,CLT
50350,MDW,BNA
157162,PHL,CVG
113308,XNA,IAH
232516,PHL,ORD
9519,HOU,HRL
87985,DTW,BNA
417454,RDU,DCA
978340,CVG,DFW
741573,IAD,ORF
837694,IAD,TUS
1043817,MSP,PIT
198375,MTJ,SLC
1001267,DCA,LGA
165248,JFK,BNA
443326,DTW,BUF
430711,MSP,TPA
165497,JFK,PIT
929301,SHV,ATL
477905,SFO,HNL
874062,PHX,ELP
304928,DCA,SLC
406850,EVV,ORD
452682,AZO,DTW
420870,BOS,LGA
90882,BNA,PVD
374466,STL,ATL
921897,ATL,AEX
60536,SEA,OAK
186252,SFO,MOD
895000,SLC,CVG
134018,ORD,CLT
792723,ORD,HPN
620092,BWI,BNA
920443,ATL,FLO
224849,SFO,LAX
1005424,LAS,MEM
745631,CPR,DEN
245441,IAD,LAX
1025946,MSP,BOI
820214,SFO,PDX
97661,SAN,COS
685621,IND,BWI
962964,HNL,LIH
630686,MDW,CMH
761194,PHL,CVG
819883,PHL,ORD
897630,CVG,PDX
912565,ICT,ATL
444461,DTW,LAS
1011848,MEM,MSP
832484,EWR,DEN
914858,OAJ,ATL
1002109,LGA,BOS
117550,OMA,IAH
818271,PHL,DEN
605095,TPA,LAX
296527,LAS,SMF
377117,HNL,LIH
563489,EWR,DEN
580687,SFO,IAH
784222,FAT,LAX
10095,MCI,LAX
895550,JFK,ATL
48242,SLC,LAS
423313,MSP,ORD
98114,MRY,SAN
391739,DFW,PIA
211587,SLC,DEN
758197,PHL,CVG
648225,PDX,SLC
952674,DAY,TPA
296758,MCO,BUF
798075,DEN,COS
156909,DTW,CVG
35775,GEG,SEA
175443,EUG,SFO
14352,PHX,OAK
683183,OAK,LAS
914169,IAD,ATL
969604,DFW,SPS
276851,CLT,SYR
159372,JFK,CVG
74899,BNA,BWI
411520,MIA,PIT
888488,BWI,PBI
482914,AUS,LAX
658137,SNA,PHX
761382,ATL,ALB
229713,RDU,IAD
893672,ATL,PBI
578552,FLL,IAH
216544,CLE,DEN
684714,BHM,DAL
736445,DEN,RAP
288369,LAS,CLT
87890,DAL,MSY
244016,DEN,ORD
860928,MCO,PHL
841511,SAN,ORD
599315,PBI,ATL
1011354,MCO,DTW
362773,MCO,CLT
622002,PDX,GEG
1009147,MEM,BWI
883221,RNO,PHX
587042,EWR,MSY
620,MCO,MDW
208178,MFR,PDX
529029,DFW,LAX
995967,MIA,IND
916802,PIA,ATL
